"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
1,1,1,1,1,1,0,0,20260523,20261212
2,1,1,1,1,1,0,0,20260523,20261212
3,0,0,0,0,0,1,0,20260523,20261212
4,1,1,1,1,0,0,0,20260523,20261212
5,0,0,0,0,0,0,0,20260523,20261212
6,0,0,0,0,0,0,1,20260523,20261212
7,1,1,1,1,1,1,1,20260523,20261212
8,1,1,1,1,1,1,1,20260523,20261212
9,0,0,0,0,0,0,0,20260523,20261212
10,1,1,1,1,1,1,0,20260523,20261212
11,1,1,1,1,1,1,1,20260523,20261212
12,0,0,0,0,0,0,0,20260523,20261212
13,1,1,1,1,1,1,1,20260523,20261212
14,1,1,1,1,1,0,0,20260523,20261212
15,1,1,1,1,1,0,0,20260523,20261212
16,0,0,0,0,0,0,0,20260523,20261212
17,1,1,1,1,1,0,0,20260523,20261212
18,0,0,0,0,0,0,0,20260523,20261212
19,1,1,1,1,0,0,0,20260523,20261212
20,1,1,1,1,1,1,1,20260523,20261212
21,0,0,0,0,0,1,1,20260523,20261212
22,1,1,1,1,1,0,0,20260523,20261212
23,0,0,0,0,0,1,0,20260523,20261212
24,0,1,0,1,0,0,0,20260523,20261212
25,0,0,0,0,0,0,1,20260523,20261212
26,0,0,0,0,0,1,1,20260523,20261212
27,0,1,0,1,0,0,0,20260523,20261212
28,1,1,1,1,0,0,0,20260523,20261212
29,1,0,1,0,0,0,0,20260523,20261212
30,0,0,0,0,1,0,0,20260523,20261212
31,1,1,0,0,1,0,0,20260523,20261212
32,1,0,1,0,1,0,0,20260523,20261212
33,0,0,0,0,1,0,0,20260523,20261212
34,1,1,0,1,0,0,0,20260523,20261212
35,0,0,1,0,0,0,0,20260523,20261212
36,1,0,0,1,0,0,0,20260523,20261212
37,0,0,0,0,0,1,0,20260523,20261212
38,0,0,0,0,0,0,1,20260523,20261212
39,0,0,0,0,0,0,0,20260523,20261212
40,0,0,0,0,0,0,0,20260523,20261212
41,0,0,0,0,0,0,0,20260523,20261212
42,0,0,0,0,0,0,0,20260523,20261212
43,0,0,0,0,0,0,0,20260523,20261212
44,0,0,0,0,0,0,0,20260523,20261212
45,0,0,0,0,0,0,0,20260523,20261212
46,0,0,0,0,0,0,0,20260523,20261212
47,0,0,0,0,0,0,0,20260523,20261212
48,0,0,0,0,0,1,1,20260523,20261212
49,0,1,1,1,1,0,0,20260523,20261212
50,1,0,1,1,0,0,0,20260523,20261212
51,1,0,0,0,0,0,0,20260523,20261212
52,0,1,0,0,1,0,0,20260523,20261212
53,0,1,1,1,1,0,0,20260523,20261212
54,1,0,0,1,1,0,0,20260523,20261212
55,1,1,1,1,1,1,0,20260523,20261212
56,0,0,0,0,0,0,0,20260523,20261212
57,0,0,0,0,0,0,0,20260523,20261212
58,0,0,0,0,0,0,0,20260523,20261212
59,0,0,0,0,0,0,0,20260523,20261212
60,0,0,0,0,0,0,0,20260523,20261212
61,0,1,1,1,1,0,0,20260523,20261212
62,0,0,0,0,0,0,1,20260523,20261212
63,0,0,0,0,0,1,0,20260523,20261212
64,0,0,0,0,0,1,1,20260523,20261212
65,1,1,1,1,1,1,1,20260523,20261212
66,0,0,0,0,0,1,0,20260523,20261212
67,0,0,0,0,0,1,1,20260523,20261212
68,0,0,0,0,0,0,0,20260523,20261212
69,0,0,0,0,0,0,0,20260523,20261212
70,0,0,0,0,0,0,0,20260523,20261212
71,0,0,0,0,0,0,0,20260523,20261212
72,1,1,1,1,1,1,1,20260523,20261212
73,1,1,1,1,1,1,1,20260523,20261212
74,0,0,0,0,0,0,0,20260523,20261212
75,0,0,0,0,0,0,0,20260523,20261212
76,0,0,0,0,0,0,1,20260523,20261212
77,0,0,0,0,0,0,0,20260523,20261212
78,0,0,0,0,0,0,0,20260523,20261212
79,0,0,0,0,0,0,0,20260523,20261212
80,1,1,1,1,1,1,1,20260523,20261212
81,0,0,0,0,0,0,0,20260523,20261212
82,0,0,0,0,0,0,0,20260523,20261212
83,1,1,1,1,1,1,1,20260523,20261212
84,0,0,0,0,0,0,0,20260523,20261212
85,0,0,0,0,0,0,0,20260523,20261212
86,0,0,0,0,0,0,0,20260523,20261212
87,0,0,0,0,0,0,0,20260523,20261212
88,0,0,0,0,0,0,0,20260523,20261212
89,0,0,0,0,0,0,0,20260523,20261212
90,0,0,0,0,0,0,0,20260523,20261212
91,1,1,1,1,1,1,1,20260523,20261212
92,1,1,1,1,1,1,1,20260523,20261212
93,1,1,1,1,1,1,1,20260523,20261212
94,1,1,1,1,1,1,1,20260523,20261212
